LABCENTER PROTEUS PICK AND PLACE FILE
=====================================

Component positions for C:\Projects\KIWISAT\SUBSYSTEMS\Camera\Camera_V2.LYT

Fields: Part ID, Value, Package, Layer, Rotation, X, Y
"TP3","","TESTPT_SMD40",TOP,0,375,-425
"TP4","","TESTPT_SMD40",TOP,0,630,-695
"TP5","","TESTPT_SMD40",TOP,0,250,-1175
"TP6","","TESTPT_SMD40",TOP,0,-375,-875
"TP7","","TESTPT_SMD40",TOP,0,-425,-925
"TP8","","TESTPT_SMD40",TOP,0,300,-425
"TP12","","TESTPT_SMD40",TOP,0,-425,-825
"TP13","","TESTPT_SMD40",TOP,0,350,-25
"C27","100nF","SMD0603",TOP,180,197,400
"C28","100nF","SMD0603",TOP,90,-400,303
"TP1","","TESTPT_SQ60",TOP,0,225,-1550
"TP2","","TESTPT_SQ60",TOP,0,225,-1450
"TP14","","TESTPT_SQ60",TOP,0,225,-1350
"TP15","","TESTPT_SMD40",TOP,0,600,-400
"R21","DNF","SMD0603",TOP,0,478,-425
"R22","0R","SMD0603",TOP,-270,475,-572
"R23","DNF","SMD0603",TOP,-270,715,-497
"C4","100nF","SMD0603",TOP,270,-730,-978
"R25","5k6","SMD0603",TOP,180,123,-1375
"U7","24LC64","SO8",TOP,90,-650,115
"J5","M2.5","CONN_M25_150",TOP,0,0,500
"J6","M2.5","CONN_M25_150",TOP,0,-435,-250
"J7","M2.5","CONN_M25_150",TOP,0,435,-250
"J8","M3","CONN_M3_220",TOP,0,-600,500
"J9","M3","CONN_M3_220",TOP,0,600,500
"J10","M3","CONN_M3_220",TOP,0,600,-1500
"J11","M3","CONN_M3_220",TOP,0,-600,-1500
"MISC1","","LENS-SQ530",BOT,0,0,0
"C25","2.2uF 6V3","SMD0805",TOP,90,-75,-1532
"C26","2.2uF 6V3","SMD0805",TOP,90,-185,-1532
"C29","2.2uF 6V3","SMD0805",TOP,90,-295,-1532
"R24","2k2","SMD0603",TOP,270,-380,-1553
"R8","5k6","SMD0603",TOP,0,-580,-1305
"R19","2k2","SMD0603",TOP,180,-713,320
"R26","2k2","SMD0603",TOP,0,-620,-665
"R27","2k2","SMD0603",TOP,180,-463,-60
"R28","2k2","SMD0603",TOP,180,-588,-130
"R29","DNF","SMD0603",TOP,0,658,-135
"R30","2k2","SMD0603",TOP,90,-590,-313
"R32","DNF","SMD0603",TOP,0,325,-1300
"J12","SIL-3","CONN_SIL03",TOP,-270,-730,-240
"J13","SIL-3","CONN_SIL03",TOP,180,640,290
